case_id,operator,input_shape,dtype,attrs,value_range,note
11,GroupedDynamicBlockQuant,"[[2049,512],[1]]","[""float16"",""int32""]","{""min_scale"":0.0,""round_mode"":""rint"",""dst_type"":35,""row_block_size"":1,""col_block_size"":64,""group_list_type"":0}","[[-400,0],[0,2049]]",S-fp16-e5m2-2D-1M-非对齐
12,GroupedDynamicBlockQuant,"[[3,4001,128],[1]]","[""bfloat16"",""int32""]","{""min_scale"":0.0,""round_mode"":""rint"",""dst_type"":36,""row_block_size"":1,""col_block_size"":128,""group_list_type"":0}","[[-88,0],[0,4001]]",S-bf16-e4m3-3D-1.5M-非对齐
13,GroupedDynamicBlockQuant,"[[11,67,128],[1]]","[""float16"",""int32""]","{""min_scale"":0.0,""round_mode"":""rint"",""dst_type"":35,""row_block_size"":1,""col_block_size"":64,""group_list_type"":0}","[[-10,0],[0,67]]",S-fp16-e5m2-3D-0.1M-非对齐
14,GroupedDynamicBlockQuant,"[[3,1013,128],[1]]","[""bfloat16"",""int32""]","{""min_scale"":0.0,""round_mode"":""rint"",""dst_type"":36,""row_block_size"":1,""col_block_size"":128,""group_list_type"":0}","[[0,0],[0,1013]]",S-bf16-e4m3-3D-0.4M-全零
15,GroupedDynamicBlockQuant,"[[4096,1024],[3]]","[""float16"",""int32""]","{""min_scale"":0.001,""round_mode"":""rint"",""dst_type"":35,""row_block_size"":128,""col_block_size"":128,""group_list_type"":0,""group_list"":[1024,2048,4096]}","[[-0.5,0],[0,4096]]",M-fp16-e5m2-2D-4M-多组-min_scale
16,GroupedDynamicBlockQuant,"[[4097,1024],[2]]","[""bfloat16"",""int32""]","{""min_scale"":0.5,""round_mode"":""rint"",""dst_type"":36,""row_block_size"":128,""col_block_size"":128,""group_list_type"":0,""group_list"":[1000,4097]}","[[-1000,0],[0,4097]]",M-bf16-e4m3-2D-4M-多组-非对齐-min_scale
17,GroupedDynamicBlockQuant,"[[4,2048,1024],[3]]","[""float16"",""int32""]","{""min_scale"":0.0,""round_mode"":""rint"",""dst_type"":35,""row_block_size"":256,""col_block_size"":192,""group_list_type"":0,""group_list"":[512,1024,2048]}","[[-20,0],[0,2048]]",L-fp16-e5m2-3D-8M-多组
18,GroupedDynamicBlockQuant,"[[255,8192],[1]]","[""bfloat16"",""int32""]","{""min_scale"":0.0,""round_mode"":""rint"",""dst_type"":36,""row_block_size"":1,""col_block_size"":256,""group_list_type"":0}","[[-1,0],[0,255]]",S-bf16-e4m3-2D-2M-非对齐
19,GroupedDynamicBlockQuant,"[[4097,512],[1]]","[""float16"",""int32""]","{""min_scale"":0.0,""round_mode"":""rint"",""dst_type"":35,""row_block_size"":512,""col_block_size"":64,""group_list_type"":0}","[[-1000,0],[0,4097]]",S-fp16-e5m2-2D-2M-非对齐
20,GroupedDynamicBlockQuant,"[[2,101,1024],[1]]","[""bfloat16"",""int32""]","{""min_scale"":0.0,""round_mode"":""rint"",""dst_type"":36,""row_block_size"":1,""col_block_size"":256,""group_list_type"":0}","[[-20,0],[0,101]]",S-bf16-e4m3-3D-0.2M-非对齐
